Scientific Name,Source Rows,Common Names Merged,LBJ URL
Colubrina texensis,"187, 313","Texas Hogplum, Texas Hog Plum",https://www.wildflower.org/plants/result.php?id_plant=COTE6
Conoclinium coelestinum,"63, 64","Blue Mistflower, Wild Ageratum, Blue Boneset, Gregg's Mistflower, Palmleaf Thoroughwort, Palm-leaf Mistflower, Palm-leaf Thoroughwort, Purple Palmleaf Mistflower, Purple Palmleaf Eupatorium",https://www.wildflower.org/plants/result.php?id_plant=COCO13
