Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Vachellia farnesiana,"Huisache, Texas Huisache, Sweet Acacia, Perfume Acacia, Mealy Acacia, Mealy Wattle, Cassie",Fabaceae,"Shrub, Tree",Perennial,"Jan , Feb , Mar , Apr","Orange , Yellow",Low,Sun,High,0,6,https://www.wildflower.org/plants/result.php?id_plant=VAFA,222
Verbena xutha,Gulf Vervain,Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct","Blue , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=VEXU,168
Verbesina encelioides,"Cowpen Daisy, Golden Crownbeard, Butter Daisy",Asteraceae,Herb,Annual,"Apr , May , Jun , Jul , Aug , Sep , Oct",Yellow,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=VEEN,169
Verbesina virginica,"Frostweed, White Crownbeard, Iceplant, Iceweed, Virginia Crownbeard, Indian Tobacco, Richweed, Squawweed",Asteraceae,Herb,"Perennial , Biennial","Jul , Aug , Sep , Oct , Nov , Dec",White,"Low , Medium","Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=VEVI3,170
Vernonia baldwinii,"Western Ironweed, Baldwin's Ironweed, Ironweed",Asteraceae,Herb,Perennial,"Jul , Aug , Sep , Oct , Nov","Pink , Purple",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=VEBA,171
Vernonia lindheimeri,Woolly Ironweed,Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug , Sep","Pink , Purple",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=VELI3,173
Vernonia ×guadalupensis,Guadalupe Ironweed,Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug , Sep , Oct , Nov",Purple,Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=VEGU,172
Viburnum rufidulum,"Rusty Blackhaw Viburnum, Rusty Blackhaw, Southern Blackhaw, Blackhaw, Bluehaw, Downy Viburnum, Southern Nannyberry, Rusty Nannyberry, Nannyberry",Viburnaceae,"Shrub, Tree",Perennial,"Apr , May",White,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=VIRU,223
Viguiera dentata,Toothleaf goldeneye,Asteraceae,Shrub,Perennial,"Oct , Nov",Yellow,Medium,Part Shade,,4,8,https://www.wildflower.org/plants/result.php?id_plant=VIDE3,210
Viola missouriensis,Missouri Violet,Not listed in spreadsheet,Herb,"Annual , Perennial","Feb , Mar , Apr","White , Purple",Medium,"Part Shade , Shade",Low,0,6,https://www.wildflower.org/plants/result.php?id_plant=VIMI3,174
Vitis mustangensis,Mustang Grape,Vitaceae,Vine,Perennial,"Apr , May , Jun","White , Red",Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=VIMU2,312
Wedelia acapulcensis,Orange Zexmenia,Asteraceae,Subshrub,Perennial,"May , Jun , Jul , Aug , Sep","Orange , Yellow",Low,Sun,,0,5,https://www.wildflower.org/plants/result.php?id_plant=WEAC,231
Wedelia acapulcensis var. hispida,Zexmenia,Not listed in spreadsheet,Subshrub,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov","Orange , Yellow",Low,"Sun , Part Shade",,3,6,https://www.wildflower.org/plants/result.php?id_plant=WEACH,232
Yucca constricta,"Buckley Yucca, Buckley's Yucca",Asparagaceae,Succulent,Perennial,"Apr , May , Jun , Jul","White , Green",Low,Sun,,1,6,https://www.wildflower.org/plants/result.php?id_plant=YUCO,240
Yucca rupicola,"Twistleaf Yucca, Twisted-leaf Yucca, Texas Yucca, Spanish Dagger",Asparagaceae,Succulent,Perennial,"Apr , May , Jun","White , Green",Low,"Sun , Part Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=YURU,241
Yucca treculeana,"Spanish Dagger, Spanish Bayonet, Don Quixote's Lance, Palma Pita, Palma De Datil, Palmito",Not listed in spreadsheet,"Succulent, Tree",Perennial,"Jan , Feb , Mar , Apr , Dec","White , Red",Medium,Part Shade,,3,6,https://www.wildflower.org/plants/result.php?id_plant=YUTR,242
