Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Quercus shumardii,"Shumard Oak, Shumard's Oak, Shumard Red Oak, Southern Red Oak, Swamp Red Oak, Spotted Oak",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr , May","White , Green",Medium,"Sun , Part Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=QUSH,281
Quercus virginiana,"Coastal Live Oak, Southern Live Oak, Virginia Live Oak, Live Oak, Encino",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr , May",Yellow,Medium,"Sun , Part Shade",,5,8,https://www.wildflower.org/plants/result.php?id_plant=QUVI,282
Ranunculus macranthus,Large Buttercup,Not listed in spreadsheet,Herb,Perennial,"Mar , Apr",Yellow,Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=RAMA3,132
Ratibida columnifera,"Mexican Hat, Red-spike Mexican Hat, Upright Prairie Coneflower, Prairie Coneflower, Long-headed Coneflower, Thimbleflower",Asteraceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep , Oct","Orange , Yellow , Brown",Medium,Sun,High,0,6,https://www.wildflower.org/plants/result.php?id_plant=RACO3,133
Rhus aromatica,"Fragrant Sumac, Aromatic Sumac, Lemon Sumac, Polecat Bush",Anacardiaceae,Shrub,Perennial,"Apr , May , Jun",Yellow,Low,"Sun , Part Shade , Shade",,3,8,https://www.wildflower.org/plants/result.php?id_plant=RHAR4,204
Rhus lanceolata,"Prairie Flameleaf Sumac, Flameleaf Sumac, Prairie Sumac, Lance-leaf Sumac, Lance-leaved Sumac, Texas Sumac, Tree Sumac, Limestone Sumac, Prairie Shining Sumac",Anacardiaceae,"Shrub, Tree",Perennial,"Jul , Aug","White , Yellow , Green","Low , Medium",Sun,High,3,8,https://www.wildflower.org/plants/result.php?id_plant=RHLA3,218
Rhus microphylla,Littleleaf Sumac,Not listed in spreadsheet,Shrub,Perennial,"Mar , Apr , May","White , Green",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=RHMI3,205
Rhus virens,"Evergreen Sumac, Tobacco Sumac, Lambrisco, Lentrisco",Not listed in spreadsheet,Shrub,Perennial,"Jul , Aug","White , Yellow",Low,"Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=RHVI3,206
Rhynchospora colorata,"Whitetop Sedge, White-topped Sedge, Starrush Whitetop, Star Sedge, Star Rush",Cyperaceae,Herb,Perennial,"Jun , Jul , Aug",White,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=RHCO7,134
Rivina humilis,"Pigeonberry, Rouge Plant, Baby-peppers, Bloodberry",Petiveriaceae,"Herb, Subshrub",Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct","White , Pink",Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=RIHU2,175
Rudbeckia hirta,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan",Asteraceae,Herb,"Annual , Perennial , Biennial","Jun , Jul , Aug , Sep , Oct",Yellow,Medium,Sun,High,4,8,https://www.wildflower.org/plants/result.php?id_plant=RUHI2,135
Ruellia humilis,Prairie Petunia,Acanthaceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep",Purple,Low,Part Shade,,1,6,https://www.wildflower.org/plants/result.php?id_plant=RUHU,136
Ruellia nudiflora,"Violet Ruellia, Common Wild Petunia, Violet Wild Petunia, Wild Petunia, Hierba De La Calentura",Acanthaceae,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct",Purple,"Low , Medium","Sun , Part Shade , Shade",,9,10,https://www.wildflower.org/plants/result.php?id_plant=RUNU,137
Sabal mexicana,Texas Palmetto,Not listed in spreadsheet,Tree,Perennial,"Mar , Apr , May",White,"Low , Medium","Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAME8,283
Sabal minor,"Dwarf Palmetto, Bush Palmetto, Palmetto",Arecaceae,Tree,Perennial,"May , Jun",White,Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAMI8,284
Sagittaria lancifolia,Lanceleaf Arrowhead,Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug",White,High,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SALA,138
Sagittaria platyphylla,Delta Arrowhead,Not listed in spreadsheet,Herb,Perennial,Jun,White,High,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAPL,139
Salix nigra,"Black Willow, Gulf Black Willow, Swamp Willow, Sauz",Salicaceae,Tree,Perennial,"Feb , Mar , Apr , May , Jun , Jul",Yellow,High,"Sun , Part Shade , Shade",,7,9,https://www.wildflower.org/plants/result.php?id_plant=SANI,285
Salvia azurea,"Pitcher Sage, Blue Sage",Lamiaceae,Herb,Perennial,"Sep , Oct , Nov","White , Blue",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAAZ,140
Salvia ballotiflora,Shrubby Blue Sage,Not listed in spreadsheet,Subshrub,Perennial,"May , Jun , Jul","White , Blue , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SABA5,229
Salvia coccinea,"Scarlet Sage, Tropical Sage, Blood Sage, Red Sage, Indian Fire",Lamiaceae,Herb,"Annual , Perennial","Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct","White , Red , Pink",Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SACO5,141
Salvia engelmannii,"Engelmann's Sage, Engelmann's Salvia",Lamiaceae,Herb,Perennial,"Apr , May","Blue , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAEN2,142
Salvia farinacea,"Mealy Blue Sage, Mealy Sage, Mealycup Sage",Lamiaceae,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct",Blue,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAFA2,143
Salvia greggii,"Autumn Sage, Cherry Sage, Gregg Salvia",Not listed in spreadsheet,Subshrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov","White , Red , Pink , Orange , Purple",Low,Sun,High,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAGR4,230
Salvia lyrata,"Lyreleaf Sage, Cancer Weed",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun","White , Blue , Violet","Low , Medium","Sun , Part Shade , Shade",Medium,0,6,https://www.wildflower.org/plants/result.php?id_plant=SALY2,144
Salvia pentstemonoides,Big Red Sage,Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug , Sep , Oct",Red,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SAPE15,145
Salvia roemeriana,Cedar Sage,Lamiaceae,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug",Red,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SARO3,146
Salvia texana,"Texas Sage, Blue Sage",Lamiaceae,Herb,Perennial,"Mar , Apr , May","Blue , Purple , Violet",Low,"Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=SATE3,147
Sambucus nigra,Black Elderberry,Not listed in spreadsheet,"Shrub, Tree",Perennial,April–August,,Medium,"Sun, Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SANI4,219
Sambucus nigra ssp. canadensis,Common Elderberry,Not listed in spreadsheet,Shrub,Perennial,"May , Jun",White,Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SANIC4,207
